symbol,type,horizon_sec,n_levels,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
RIOT,support,60,4,0.8519471801513835,13.218759617130285,3.5359426504723372,0.0004124536457070782,156.50570162781625,3010,0.42657807308970097
RIOT,resistance,60,7,-11.239614326001513,48.07378093839956,-10.287167364217943,0.0,-567.7423984624489,1936,0.3760330578512397
RIOT,support,120,4,2.165505961948175,17.838376905485145,6.655773527319671,3.3367530960504155e-11,294.78966052955906,3006,0.48170326014637393
RIOT,resistance,120,7,-23.15539577769511,61.046858658573925,-16.689432291951206,0.0,-921.079436441089,1936,0.365702479338843
RIOT,support,300,4,8.122745653524115,27.029488677513452,16.31103034029079,0.0,729.7485208898343,2946,0.5885947046843177
RIOT,resistance,300,7,-61.967422070786796,92.47930590417877,-29.482991296882304,0.0,-1627.1480379489278,1936,0.253099173553719
SMR,support,30,1,-0.007932826072523795,21.885393632884952,-0.01239842448054481,0.990109857499313,-0.880200820939662,1170,0.5025641025641026
SMR,resistance,30,3,3.161981845479238,21.702817997453536,3.2773173878421105,0.001120114069964151,353.7947978540179,506,0.5573122529644269
SMR,support,60,1,-2.140838491884542,29.924424416429027,-2.4470961281510313,0.014547643436872315,-173.72659117266795,1170,0.5111111111111111
SMR,resistance,60,3,5.885693341785199,26.086428844945843,5.075259578186806,5.448653652706525e-07,547.8872577866343,506,0.6086956521739131
SMR,support,120,1,-8.430608030243429,38.872798821816666,-7.418327765994741,2.2737367544323206e-13,-526.6490270496963,1170,0.4188034188034188
SMR,resistance,120,3,2.0423980891186804,43.12444021090305,1.0653496885586555,0.28722680395564226,115.00722484361617,506,0.6205533596837944
SMR,support,300,1,-22.683088355920454,47.829372996802725,-16.22185173355823,0.0,-1151.6372290241193,1170,0.4017094017094017
SMR,resistance,300,3,6.738149691485195,81.0679143581894,1.8696784106363202,0.0621069131110521,201.83656846816396,506,0.7391304347826086
VST,support,30,4,0.34998331770846036,14.739484555058526,1.185329427219886,0.23600028612335167,57.65981525024661,2492,0.46629213483146065
VST,resistance,30,3,0.769059289147953,14.610900582866668,2.559213821720647,0.010552683424591258,127.81771094061725,2364,0.47884940778341795
VST,support,60,4,-1.1370890090010677,20.05166866339142,-2.8308571915812206,0.00467958453328543,-137.70577100177366,2492,0.41252006420545745
VST,resistance,60,3,0.41992495359718,20.774959724116684,0.9827775530526878,0.3258175426847494,49.0839710730225,2364,0.5186125211505922
VST,support,120,4,-2.677920421020411,28.07604811134419,-4.761411407528144,2.0326131442427453e-06,-231.61670990689092,2492,0.42857142857142855
VST,resistance,120,3,-0.013375021166341847,30.294375399430784,-0.021466251402949568,0.9828755371165077,-1.0721132769422521,2364,0.4906937394247039
VST,support,300,4,-6.93269803874507,40.35732883047855,-8.575390188579146,0.0,-417.14598711344274,2492,0.36597110754414125
VST,resistance,300,3,2.5183438137782197,51.86159227847733,2.3609832766819614,0.018307320492560786,117.9172585867297,2364,0.4619289340101523
