threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.4,1.5,2.0,60,149,39.59731543624161,-1242.1936416857225,-0.8564661048790887,0.03207447431177034,54.36241610738255,22.818791946308725,22.818791946308725,-1774.4156940428647
0.4,2.0,2.0,30,149,40.939597315436245,-1253.5510800428465,-0.8915656601860976,0.012910936954621897,37.58389261744966,15.436241610738255,46.97986577181208,-1627.4479044357045
0.4,1.5,2.0,20,149,46.308724832214764,-1435.868742450004,-0.9833035720615746,0.020251896207881474,43.624161073825505,14.76510067114094,41.61073825503356,-2019.5684566785803
0.5,2.0,2.0,30,95,38.94736842105263,-800.1945815642873,-1.007246209452855,0.019024343603178527,38.94736842105263,18.947368421052634,42.10526315789473,-1744.388898349999
0.5,2.0,1.5,20,95,47.368421052631575,-653.4862153642885,-1.0686111927463016,0.023717173500925746,28.421052631578945,18.947368421052634,52.63157894736842,-1497.5392037571444
0.4,1.5,2.5,30,149,37.58389261744966,-1886.67921545715,-1.10431844729956,0.0063049537467022,50.33557046979866,14.76510067114094,34.899328859060404,-2722.7609317642973
0.5,1.0,3.0,60,95,31.57894736842105,-965.0802824571188,-1.1205450667925319,0.0725178713262803,67.36842105263158,20.0,12.631578947368421,-2857.298120135696
0.4,2.0,1.5,20,149,48.322147651006716,-1308.5359030071431,-1.1246146382806057,0.0072479348875791934,29.53020134228188,16.10738255033557,54.36241610738255,-1469.509017385717
0.4,1.0,3.0,60,149,32.21476510067114,-2108.5812504571154,-1.2165430496578822,0.03602778248424961,66.44295302013423,17.449664429530202,16.10738255033557,-3540.2996180356936
0.6,2.0,2.0,20,66,43.93939393939394,-635.4345911571404,-1.2237271137968417,0.012450421153665719,30.303030303030305,12.121212121212121,57.57575757575758,-1449.3777800857122
0.5,1.5,2.0,20,95,44.21052631578947,-937.7588616785756,-1.2324672045264482,0.026511902865278852,41.05263157894737,16.842105263157894,42.10526315789473,-2093.138581142864
0.5,1.5,1.5,10,95,41.05263157894737,-825.3796415178737,-1.265457228726362,0.028992537760483748,26.31578947368421,20.0,53.68421052631579,-1364.0795961607307
0.6,1.5,3.0,10,66,36.36363636363637,-745.9215794214365,-1.3933576568969788,0.021615204972930867,25.757575757575758,3.0303030303030303,69.6969696969697,-1451.013879421432
