symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
ccl,SHORT,2024-05-22 13:40:00+00:00,16.06,16.113500000000002,15.974399999999994,0.003331257783312778,0.005330012453300445,2024-05-22 14:00:00+00:00,16.06,OTHER,1,0.08560000000000478,0.07860000000000478,0.007000000000000006,20.0
csco,LONG,2024-05-22 13:40:00+00:00,47.285,47.19043,47.436312,0.002,0.0032,2024-05-22 14:00:00+00:00,47.285,OTHER,1,0.15131200000000433,0.14431200000000433,0.007000000000000006,20.0
rf,LONG,2024-05-22 13:50:00+00:00,19.72,19.68056,19.783104,0.002,0.0031999999999999997,2024-05-22 14:10:00+00:00,19.72,OTHER,1,-0.03943999999999903,-0.04643999999999903,0.006999999999999999,20.0
dvn,SHORT,2024-05-22 13:50:00+00:00,48.86,48.95772,48.703648,0.002,0.0032000000000000006,2024-05-22 14:10:00+00:00,48.8695,STOP,1,0.165852000000001,0.158852000000001,0.007000000000000006,20.0
vz,SHORT,2024-05-22 14:00:00+00:00,39.7806,39.8601612,39.65330208,0.002,0.0032,2024-05-22 14:20:00+00:00,39.79,STOP,1,-0.07016120000000114,-0.07716120000000115,0.007000000000000006,20.0
key,LONG,2024-05-22 14:00:00+00:00,15.195,15.16461,15.243624000000002,0.002,0.0032,2024-05-22 14:20:00+00:00,15.195,OTHER,1,-0.07500000000000107,-0.08200000000000107,0.007000000000000006,20.0
ccl,LONG,2024-05-22 14:00:00+00:00,16.055,16.001516656288914,16.14057334993774,0.003331257783312778,0.005330012453300445,2024-05-22 14:20:00+00:00,16.0518,OTHER,1,-0.05028334371108656,-0.05728334371108656,0.006999999999999999,20.0
csco,SHORT,2024-05-22 14:00:00+00:00,47.315,47.40963,47.163592,0.002,0.0032,2024-05-22 14:20:00+00:00,47.315,STOP,1,-0.09463000000000221,-0.10163000000000222,0.007000000000000006,20.0
pfe,SHORT,2024-05-22 14:00:00+00:00,28.8967,28.9544934,28.80423056,0.002,0.0032000000000000006,2024-05-22 14:30:00+00:00,28.9,STOP,1,-0.05449340000000191,-0.06149340000000191,0.006999999999999999,30.0
rf,SHORT,2024-05-22 14:10:00+00:00,19.645,19.68429,19.582136,0.002,0.0031999999999999997,2024-05-22 14:30:00+00:00,19.65,STOP,1,-0.03500000000000014,-0.04200000000000014,0.006999999999999999,20.0
f,SHORT,2024-05-22 13:40:00+00:00,12.025,12.058250000000001,11.971799999999998,0.0027650727650728206,0.004424116424116513,2024-05-22 14:40:00+00:00,12.025,OTHER,1,0.053200000000002134,0.046200000000002135,0.006999999999999999,60.0
t,LONG,2024-05-22 14:00:00+00:00,17.3015,17.266897,17.356864800000004,0.002,0.0032,2024-05-22 14:40:00+00:00,17.3015,OTHER,1,0.0553648000000031,0.0483648000000031,0.006999999999999999,40.0
nem,SHORT,2024-05-22 14:20:00+00:00,42.62,42.96225,42.0724,0.008030267480056311,0.012848427968090098,2024-05-22 14:50:00+00:00,42.62,OTHER,1,-0.34224999999999994,-0.34924999999999995,0.007000000000000006,30.0
czr,SHORT,2024-05-22 13:40:00+00:00,35.495,35.7113125,35.1489,0.00609416819270322,0.009750669108325153,2024-05-22 15:00:00+00:00,35.495,OTHER,1,0.34609999999999985,0.33909999999999985,0.007000000000000006,80.0
usb,SHORT,2024-05-22 13:40:00+00:00,41.15,41.2323,41.01832,0.002,0.0031999999999999997,2024-05-22 15:10:00+00:00,41.15,STOP,1,0.1316799999999958,0.1246799999999958,0.007000000000000006,90.0
gm,SHORT,2024-05-22 13:40:00+00:00,44.27,44.3925,44.07400000000001,0.0027671109103229083,0.004427377456516654,2024-05-22 15:20:00+00:00,44.27,OTHER,1,0.19599999999999085,0.18899999999999084,0.007000000000000006,100.0
cmcsa,SHORT,2024-05-22 13:50:00+00:00,38.8,38.9174725,38.61204399999999,0.0030276417525774537,0.004844226804123926,2024-05-22 15:20:00+00:00,38.8,OTHER,1,-0.1174725000000052,-0.1244725000000052,0.007000000000000006,90.0
key,SHORT,2024-05-22 14:20:00+00:00,15.15,15.1803,15.10152,0.002,0.0032,2024-05-22 15:20:00+00:00,15.1575,STOP,1,0.05597999999999992,0.04897999999999992,0.006999999999999999,60.0
aes,SHORT,2024-05-22 13:40:00+00:00,21.09,21.1706875,20.9609,0.0038258653390232243,0.006121384542437159,2024-05-22 15:40:00+00:00,21.1,OTHER,1,-0.07068749999999824,-0.07768749999999824,0.007000000000000006,120.0
tfc,LONG,2024-05-22 18:00:00+00:00,38.9965,38.918507,39.1212888,0.002,0.0032,2024-05-22 18:20:00+00:00,38.995,STOP,1,-0.07649299999999926,-0.08349299999999926,0.007000000000000006,20.0
dvn,LONG,2024-05-22 14:10:00+00:00,48.675,48.57765,48.830760000000005,0.002,0.0032000000000000006,2024-05-22 18:40:00+00:00,48.675,OTHER,1,-0.09734999999999872,-0.10434999999999872,0.007000000000000006,270.0
