signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-07-24 14:19:00,2025-07-24 14:20:00,2025-07-24 14:25:00,CNC,LONG,3264,28.525,28.59,212.16000000000417,22.848,46.5528,142.75920000000417,14
2025-07-24 14:20:00,2025-07-24 14:21:00,2025-07-24 14:26:00,CNC,LONG,3278,28.56,28.535,-81.94999999999534,22.946,46.809839999999994,-151.70583999999533,14
2025-07-24 13:47:00,2025-07-24 13:48:00,2025-07-24 13:53:00,TSLA,SHORT,35,305.26,307.81,-89.2500000000004,0.7,5.34205,-95.2920500000004,13
2025-07-28 13:30:00,2025-07-28 13:31:00,2025-07-28 13:36:00,USO,SHORT,1249,76.65,76.71,-74.93999999998509,8.743,47.86792500000001,-131.55092499998509,13
2025-07-28 13:31:00,2025-07-28 13:32:00,2025-07-28 13:37:00,USO,SHORT,1599,76.67,76.69,-31.979999999993638,11.193,61.297665,-104.47066499999363,13
2025-07-28 13:32:00,2025-07-28 13:33:00,2025-07-28 13:38:00,USO,SHORT,1816,76.7415,76.78,-69.91599999999835,12.712,69.68128200000001,-152.30928199999835,13
2025-07-28 13:33:00,2025-07-28 13:34:00,2025-07-28 13:39:00,USO,LONG,1510,76.685,76.7827,147.52700000000488,10.57,57.897175000000004,79.05982500000488,13
2025-07-29 13:30:00,2025-07-29 13:31:00,2025-07-29 13:36:00,CARR,LONG,140,74.475,73.68,-111.29999999999825,0.98,5.21325,-117.49324999999826,13
2025-07-29 13:36:00,2025-07-29 13:37:00,2025-07-29 13:42:00,CBRE,SHORT,116,159.945,158.29,191.98000000000013,0.812,9.27681,181.8911900000001,13
2025-07-30 14:44:00,2025-07-30 14:45:00,2025-07-30 14:50:00,CVS,SHORT,1847,61.87,61.7,313.98999999999,12.929,57.136945000000004,243.92405499999003,14
2025-07-30 13:31:00,2025-07-30 13:32:00,2025-07-30 13:37:00,HUM,SHORT,40,247.19,244.095,123.79999999999995,0.7,4.9438,118.15619999999996,13
2025-07-30 13:30:00,2025-07-30 13:31:00,2025-07-30 13:36:00,TT,SHORT,23,431.5,436.91,-124.43000000000058,0.7,4.96225,-130.09225000000058,13
2025-07-31 13:30:00,2025-07-31 13:31:00,2025-07-31 13:36:00,BAX,LONG,638,24.07,22.76,-835.7799999999992,4.466,7.67833,-847.9243299999991,13
